# Human_geneid	Human_ids	Mouse_geneid	Mouse_ids
5157	ENST00000541323,Q15198	68797	Q6PE55,ENSMUST00000034004
5158	ENST00000255622,ENST00000429163,P35913-2,P35913,ENST00000496514,P35913-3	18587	ENSMUST00000031456,P23440,P23440-2
5159	ENST00000261799,P09619,P09619-2	18596	P05622-2,ENSMUST00000025522,P05622
5160	P08559-2,P08559-3,P08559,ENST00000422285,ENST00000379806,P08559-4,ENST00000545074,ENST00000540249	18597	P35486,ENSMUST00000033662
5161	P29803	18598	P35487
5162	ENST00000461692,P11177-2,P11177-3,ENST00000485460,P11177,ENST00000302746,ENST00000383714	68263	Q9D051,ENSMUST00000022268
5163	Q15118-2,ENST00000282077,ENST00000392571,Q15118	228026	Q8BFP9,ENSMUST00000006669
5164	Q15119-2,Q15119,ENST00000503176,ENST00000007708	18604	ENSMUST00000038431,Q9JK42
5165	Q15120-2,ENST00000568479,ENST00000379162,Q15120	236900	Q922H2,ENSMUST00000045748
5166	ENST00000005178,Q16654	27273	O70571,ENSMUST00000019721
5167	ENST00000647893,P22413	18605	P06802,ENSMUST00000135846,P06802-2,ENSMUST00000105520
5168	ENST00000427067,Q13822,ENST00000522826,ENST00000522167,Q13822-3,ENST00000259486,ENST00000075322,Q13822-2	18606	Q9R1E6-3,Q9R1E6,ENSMUST00000167541,Q9R1E6-2,ENSMUST00000041591,ENSMUST00000173516,ENSMUST00000171545
5169	O14638,ENST00000358229	209558	Q6DYE8,ENSMUST00000020169
5170	ENST00000441549,ENST00000268673,ENST00000389224,O15530-3,O15530-2,O15530-5,O15530-4,ENST00000342085,O15530	18607	Q9Z2A0,ENSMUST00000102927,ENSMUST00000052462,ENSMUST00000115411
5172	ENST00000644269,O43511-2,O43511	23985	Q9R155,ENSMUST00000001253
5173	ENST00000540134,ENST00000539905,P01213,ENST00000217305	18610	ENSMUST00000028883
5174	ENST00000344770,ENST00000451928,Q5T2W1-2,Q5T2W1,ENST00000417171	59020	ENSMUST00000107069,Q9JIL4,ENSMUST00000058865,ENSMUST00000107070
5175	ENST00000563924,P16284-3,P16284-2,P16284,P16284-4,P16284-5,P16284-6	18613	ENSMUST00000103069,Q08481-4,ENSMUST00000183610,Q08481,ENSMUST00000080853,ENSMUST00000106796,Q08481-3,Q08481-2
5176	P36955,ENST00000254722	20317	P97298,ENSMUST00000000769
5178	ENST00000647621,ENST00000598410,ENST00000593695,ENST00000650102,ENST00000649428,ENST00000650632,ENST00000326441,ENST00000649680,ENST00000599577,Q9GZU2,ENST00000647852,Q9GZU2-4,Q9GZU2-2,ENST00000649233,ENST00000648694,ENST00000649876,Q9GZU2-3	18616	ENSMUST00000051209,Q3URU2-2,Q3URU2
5179	P01210,ENST00000451791	18619	ENSMUST00000070375,P22005
5184	ENST00000397032,P12955-2,ENST00000244137,ENST00000436370,P12955-3,P12955	18624	ENSMUST00000075068,Q11136
5187	ENST00000581082,O15534,ENST00000354903,ENST00000317276,O15534-4	18626	ENSMUST00000166748,ENSMUST00000021271,O35973
5188	O75879,ENST00000263985	229487	ENSMUST00000127348,Q99JT1
5189	O43933-2,ENST00000438045,ENST00000248633,O43933,ENST00000484913,ENST00000428214	71382	Q5BL07,ENSMUST00000121291,ENSMUST00000006061,Q5BL07-2
5190	Q13608-2,ENST00000304611,Q13608-3,ENST00000244546,Q13608	224824	ENSMUST00000002840,ENSMUST00000144964,Q99LC9
5191	O00628,O00628-2,ENST00000318471	18634	P97865,ENSMUST00000166511,ENSMUST00000020182
5192	O60683,ENST00000510434,ENST00000447513,O60683-2,ENST00000288774	668173	ENSMUST00000103180,B1AUE5
5193	O00623	103737	ENSMUST00000018877,ENSMUST00000108146,ENSMUST00000175741,Q8VC48
5194	ENST00000295030,Q92968	72129	Q9D0K1,ENSMUST00000020523
5195	O75381,ENST00000356607,O75381-2	56273	Q9R0A0,ENSMUST00000103217
5196	ENST00000296029,P02776	56744	ENSMUST00000031320,Q9Z126
5198	O15067,ENST00000314666	237823	Q5SUR0,ENSMUST00000021282
5199	ENST00000396992,ENST00000247153,P27918	18636	P11680,ENSMUST00000001156
5201	ENST00000261813,O60925	67199	ENSMUST00000025204
5202	Q9UHV9,ENST00000368010	18637	O70591,ENSMUST00000006579,ENSMUST00000135941
5203	Q9NQP4,ENST00000371419	109054	ENSMUST00000075087,ENSMUST00000063682,ENSMUST00000136839
5204	Q99471-3,ENST00000351500,Q99471,Q99471-2	56612	ENSMUST00000166658,Q9WU28
5205	O43520,ENST00000648908	54670	ENSMUST00000025482,Q148W0
5207	ENST00000545676,P16118,P16118-2,ENST00000375006	18639	P70266-2,P70266,ENSMUST00000080884
5208	ENST00000367079,O60825,ENST00000367080,O60825-2	18640	ENSMUST00000169659,ENSMUST00000050406,P70265,ENSMUST00000189534,ENSMUST00000187089
5209	ENST00000640683,Q16875-2,ENST00000379775,ENST00000536985,Q16875,ENST00000360521,Q16875-3,Q16875-4,ENST00000379789	170768	ENSMUST00000028114,ENSMUST00000170196,ENSMUST00000179584,ENSMUST00000183869,ENSMUST00000049849,ENSMUST00000191668,ENSMUST00000192949,ENSMUST00000114846
5210	Q16877-3,ENST00000232375,ENST00000383734,ENST00000416568,Q16877-2,Q16877	270198	Q6DTY7-6,Q6DTY7-4,Q6DTY7-3,Q6DTY7-2,Q6DTY7,Q6DTY7-5,ENSMUST00000198140
5211	P17858,ENST00000349048,P17858-2	18641	ENSMUST00000020522,P12382
5212	Q6UXI7-2,Q6UXI7-3,ENST00000379242,Q6UXI7-4,ENST00000457137,ENST00000389975,ENST00000404084,ENST00000379241,Q6UXI7,ENST00000401530,Q6UXI7-5	74199	ENSMUST00000232859,ENSMUST00000024880,Q8VHI5-2,Q8VHI5
5213	ENST00000550924,ENST00000312352,ENST00000551339,ENST00000340802,P08237-2,ENST00000359794,P08237-3,P08237,ENST00000550345,ENST00000642730,ENST00000547581,ENST00000546964,ENST00000547587,ENST00000551804	18642	ENSMUST00000163507,ENSMUST00000051226,P47857-2,P47857,P47857-3
5214	Q01813,ENST00000381075,ENST00000381125,Q01813-2,ENST00000415005	56421	ENSMUST00000021614,ENSMUST00000151894,Q9WUA3,ENSMUST00000138703,Q9WUA3-2
5216	P07737,ENST00000225655	18643	ENSMUST00000018437,P62962
5217	P35080,P35080-2,ENST00000239940,ENST00000452853	18645	Q9JJV2-3,Q9JJV2,ENSMUST00000066882,Q9JJV2-2
5218	ENST00000265741,ENST00000380050,O94921-2,ENST00000436577,ENST00000406263,O94921-3,O94921	18647	ENSMUST00000115451,O35495-3,O35495,O35495-2,ENSMUST00000030763
5223	P18669,ENST00000334828	18648	ENSMUST00000011896,Q9DBJ1
5224	P15259,ENST00000297283	56012	O70250,ENSMUST00000020768
5225	ENST00000425343,P20142,ENST00000373025,P20142-2	109820	ENSMUST00000024782,Q9D7R7
5226	P52209,ENST00000270776,P52209-2	110208	Q9DCD0,ENSMUST00000084124
5228	ENST00000238607,ENST00000553716,P49763-2,P49763,P49763-3,P49763-4,ENST00000555567	18654	P49764
5229	ENST00000419445,P53609-2,P53609	225467	ENSMUST00000236216,Q8BUY9
5230	P00558,ENST00000373316,P00558-2	18655	P09411,ENSMUST00000081593
5236	ENST00000371084,ENST00000540265,ENST00000371083,P36871-3,P36871,P36871-2	72157	Q9D0F9,ENSMUST00000058351
5238	ENST00000512866,ENST00000513973,O95394,O95394-4,ENST00000506587,ENST00000283977,ENST00000650642,ENST00000651425,ENST00000616566,O95394-3	109785	ENSMUST00000072585,Q9CYR6,ENSMUST00000070064
5239	Q15124,Q15124-2,ENST00000396396,ENST00000396392	226041	ENSMUST00000047666,Q8BZF8
5241	ENST00000534013,P06401-4,ENST00000534780,ENST00000325455,P06401-2,P06401,ENST00000263463,P06401-5,P06401-3	18667	Q00175-2,Q00175,ENSMUST00000189181
5243	P08183,ENST00000622132,P08183-2,ENST00000265724	18669	ENSMUST00000009058,P06795
5245	P35232-2,ENST00000617874,ENST00000300408,P35232,ENST00000614445	18673	P67778,ENSMUST00000125172
5250	Q00325-2,ENST00000552981,Q00325,ENST00000188376	18674	Q8VEM8,ENSMUST00000076694
5251	P78562,ENST00000379374	18675	P70669,ENSMUST00000079945
5252	ENST00000374516,O43189-2,O43189,ENST00000487667,ENST00000374512	21652	ENSMUST00000237412,Q9Z1B8,ENSMUST00000073724
5253	ENST00000359246,O75151	18676	Q9WTU0,ENSMUST00000035540
5255	ENST00000541944,ENST00000373542,P46020-2,P46020,ENST00000339490,ENST00000373545,P46020-3	18679	ENSMUST00000043596,P18826-2,ENSMUST00000052012,P18826
5256	P46019,ENST00000379942	110094	ENSMUST00000033652,ENSMUST00000112376,Q8BWJ3,ENSMUST00000112380
5257	Q93100-2,ENST00000566044,ENST00000299167,Q93100,ENST00000323584,Q93100-3,Q93100-4	102093	Q7TSH2,ENSMUST00000053771
5260	Q16816-2,Q16816,ENST00000297373,ENST00000452681	18682	ENSMUST00000026617,P07934
5261	ENST00000563588,ENST00000424889,P15735-2,P15735	68961	ENSMUST00000121004,ENSMUST00000033086,Q9DB30
5264	O14832,ENST00000263038,ENST00000396913,O14832-2,ENST00000396920	16922	ENSMUST00000027975,O35386
5268	P36952,P36952-2,ENST00000382771	20724	ENSMUST00000086701,P70124,ENSMUST00000112730
5270	P07093,ENST00000447280,P07093-3,ENST00000409840,ENST00000258405,ENST00000409304,P07093-2	20720	ENSMUST00000027467,Q07235
5272	P50453,ENST00000380698	20723	ENSMUST00000006391
5273	ENST00000238508,P48595	241197	ENSMUST00000182198
5274	Q99574,ENST00000446050,ENST00000295777	20713	ENSMUST00000029423,O35684
5275	ENST00000269489,Q9UIV8-2,Q9UIV8,ENST00000344731	241196	Q8CDC0-2,Q8CDC0,ENSMUST00000027564
5276	ENST00000461846,O75830,ENST00000264677	67931	Q9JK88,ENSMUST00000039047
5277	ENST00000333590,P37287-3,ENST00000634582,P37287,P37287-2,ENST00000638131,ENST00000635598	18700	ENSMUST00000112257,ENSMUST00000033754,Q64323
5279	Q92535,ENST00000367728,ENST00000344529	67292	ENSMUST00000028021,ENSMUST00000111594,Q9CXR4
5281	Q07326,Q07326-2,ENST00000281382,ENST00000306465	18701	O09101,ENSMUST00000024957
5283	ENST00000560722,ENST00000216452,Q14442	110417	ENSMUST00000072154,Q5M9N4
5284	ENST00000356495,P01833	18703	ENSMUST00000027675,O70570
5286	O00443,O00443-2,ENST00000265970	18704	Q61194-2,Q61194,ENSMUST00000170430
5287	O00750,ENST00000424712,ENST00000367187	240752	ENSMUST00000077730
5288	O75747,ENST00000433979,ENST00000538779	18705	O70167-2,O70167,ENSMUST00000189374
5289	Q8NEB9,ENST00000398870,ENST00000262039	225326	Q6PF93-2,ENSMUST00000115812,Q6PF93,ENSMUST00000131405
5290	ENST00000263967,ENST00000643187,P42336	18706	ENSMUST00000029201,P42337
5291	ENST00000544716,ENST00000477593,ENST00000462898,P42338,ENST00000674063	74769	ENSMUST00000035037,Q8BTI9
5292	P11309,P11309-2,ENST00000373509	18712	P06803,ENSMUST00000024811,ENSMUST00000234665,P06803-2
5293	O00329,O00329-2,ENST00000377346,ENST00000361110,ENST00000628140	18707	O35904,ENSMUST00000038859,ENSMUST00000105690,ENSMUST00000105689,O35904-2,ENSMUST00000118704,ENSMUST00000105688
5294	ENST00000496166,ENST00000440650,ENST00000359195,P48736	30955	ENSMUST00000220366,ENSMUST00000053215,Q9JHG7,ENSMUST00000085469
5295	ENST00000523872,P27986-3,P27986-5,ENST00000336483,ENST00000320694,P27986-2,ENST00000521381,ENST00000521657,P27986-4,P27986	18708	ENSMUST00000055518,P26450,ENSMUST00000035532
5296	ENST00000222254,O00459,ENST00000426902	18709	O08908,ENSMUST00000034296
5297	P42356,ENST00000255882,P42356-2	224020	ENSMUST00000036161,E9Q3L2
5298	ENST00000529142,Q9UBF8,ENST00000368872,ENST00000368875,ENST00000368874,ENST00000368873,Q9UBF8-2,Q9UBF8-3	107650	Q8BKC8-3,ENSMUST00000167008,Q8BKC8,ENSMUST00000107251,ENSMUST00000072287,Q8BKC8-2
5300	Q13526,ENST00000247970	23988	Q9QUR7,ENSMUST00000034689
5303	Q9Y237-2,ENST00000423432,ENST00000373669,Q9Y237,Q9Y237-3	69713	ENSMUST00000113627,Q9CWW6,ENSMUST00000144367
5305	P48426-2,ENST00000376573,ENST00000545335,P48426	18718	ENSMUST00000006912,O70172
5306	ENST00000313486,Q00169	18738	P53810,ENSMUST00000143219
5307	P78337,ENST00000265340	18740	P70314,ENSMUST00000021968
5308	ENST00000354925,Q99697,ENST00000613094,Q99697-3,Q99697-2,ENST00000644743,ENST00000614423	18741	ENSMUST00000174661,ENSMUST00000106382,ENSMUST00000172645,P97474,P97474-5,P97474-4,P97474-2,ENSMUST00000042587,P97474-3
5309	ENST00000370002,O75364	18742	O35160,ENSMUST00000026259
5310	ENST00000423118,P98161-3,P98161,P98161-2,ENST00000262304	18763	ENSMUST00000035565,O08852
5311	Q13563-2,Q13563-3,ENST00000237596,Q13563-4,Q13563-5,Q13563	18764	O35245-3,O35245-5,ENSMUST00000086831,O35245-4,O35245-2,O35245
5313	P30613-2,P30613,ENST00000342741,ENST00000392414	18770	ENSMUST00000047111,ENSMUST00000107482
5314	P08F94,P08F94-2,ENST00000371117,ENST00000340994	241035	ENSMUST00000088448
5315	ENST00000319622,ENST00000568459,P14618-2,ENST00000389093,ENST00000449901,P14618-3,ENST00000335181,P14618	18746	P52480-2,ENSMUST00000034834,P52480
5316	ENST00000291547,P55347-2,P55347,ENST00000432907	18771	O70477,ENSMUST00000097352
5317	Q13835,ENST00000263946,Q13835-2,ENST00000367324	18772	P97350,ENSMUST00000163260,ENSMUST00000027667
5318	Q99959,ENST00000340811,Q99959-2,ENST00000070846	67451	ENSMUST00000039408
5319	ENST00000308366,P04054	18778	Q9Z0Y2,ENSMUST00000125568,ENSMUST00000112071,ENSMUST00000031495
5320	ENST00000400520,P14555,ENST00000375111	18780	P31482,ENSMUST00000135748
5321	ENST00000367466,P47712	18783	ENSMUST00000070200,ENSMUST00000111926,P47713
5324	ENST00000423799,ENST00000316981,Q6DJT9-2,Q6DJT9,ENST00000429357	56711	ENSMUST00000003369,Q9QYE0
5325	ENST00000649307,ENST00000625622,Q9UM63-2,ENST00000367571,ENST00000437412,ENST00000444202,Q9UM63,ENST00000367572,ENST00000649211,ENST00000360537,ENST00000674357,ENST00000354765,ENST00000647880,ENST00000417959,ENST00000416623	22634	ENSMUST00000121325,ENSMUST00000121646,ENSMUST00000121766
5326	ENST00000246229,Q9UPG8	54711	ENSMUST00000056924
5327	P00750-4,ENST00000524009,P00750-3,ENST00000220809,ENST00000352041,P00750,P00750-2	18791	ENSMUST00000033941,P11214
5328	P00749-2,P00749,ENST00000446342,ENST00000372764	18792	ENSMUST00000022368,P06869
5329	Q03405,ENST00000221264,Q03405-3,Q03405-2,ENST00000339082,ENST00000601723,ENST00000340093,ENST00000599892	18793	ENSMUST00000002284,P35456-2,P35456
5330	Q00722-2,ENST00000543785,ENST00000456256,ENST00000260402,Q00722,ENST00000557821,Q00722-3	18796	ENSMUST00000102524,A3KGF7-2,A3KGF7-3,A3KGF7-4,ENSMUST00000159756,A3KGF7
5331	Q01970-2,ENST00000325234,Q01970,ENST00000279230,ENST00000540288	18797	P51432,ENSMUST00000025912
5332	Q15147-2,Q15147,Q15147-5,ENST00000278655,ENST00000378473,Q15147-4,ENST00000378501	18798	ENSMUST00000110109
5333	P51178,ENST00000334661,P51178-2,ENST00000463876	18799	ENSMUST00000010804,ENSMUST00000213464,ENSMUST00000214470,Q8R3B1
5334	ENST00000487695,Q15111,ENST00000437704,ENST00000428675,Q15111-2	227120	Q3USB7,ENSMUST00000042986
5335	ENST00000244007,P19174-2,ENST00000373271,P19174	18803	ENSMUST00000103115,Q62077
5336	P16885,ENST00000564138	234779	Q8CIH5,ENSMUST00000081232
5337	Q13393,Q13393-3,ENST00000356327,ENST00000351298,Q13393-4,Q13393-2	18805	ENSMUST00000067757,ENSMUST00000120834,ENSMUST00000123539
5338	O14939-4,O14939-3,O14939,ENST00000263088,ENST00000572940	18806	P97813,ENSMUST00000018429,ENSMUST00000108557,ENSMUST00000108556
5339	Q15149-2,ENST00000398774,ENST00000322810,Q15149-9,Q15149-4,ENST00000354589,Q15149-3,Q15149-6,ENST00000527303,Q15149-8,Q15149-7,ENST00000436759,ENST00000356346,Q15149,ENST00000345136,ENST00000354958,Q15149-5,ENST00000357649	18810	Q9QXS1-13,Q9QXS1-3,Q9QXS1-9,ENSMUST00000054449,Q9QXS1-15,Q9QXS1-14,Q9QXS1-16,ENSMUST00000071869,ENSMUST00000169108,Q9QXS1-12,ENSMUST00000171562,Q9QXS1,Q9QXS1-2,Q9QXS1-5,ENSMUST00000169714,ENSMUST00000076442,Q9QXS1-4,ENSMUST00000023226,ENSMUST00000080857,Q9QXS1-11,ENSMUST00000169438,Q9QXS1-7,Q9QXS1-6,ENSMUST00000073418,ENSMUST00000089610,Q9QXS1-8,ENSMUST00000072692,ENSMUST00000074834,Q9QXS1-10
5340	P00747,ENST00000308192,ENST00000366924	18815	P20918,ENSMUST00000014578
5341	P08567,ENST00000234313	56193	ENSMUST00000102881,Q9JHK5
5345	ENST00000382061,ENST00000450523,P08697,P08697-2	18816	Q61247,ENSMUST00000043696
5346	ENST00000300055,O60240,ENST00000430628	103968	Q8CGN5,ENSMUST00000205915,Q8CGN5-3,Q8CGN5-4,Q8CGN5-2
5347	ENST00000300093,P53350	18817	ENSMUST00000033154,Q07832
5348	ENST00000351325,ENST00000588715,ENST00000455515,ENST00000612146,O00168	56188	Q9Z239,ENSMUST00000108110,ENSMUST00000039909,ENSMUST00000071697
5349	Q14802-3,ENST00000604255,ENST00000346446,ENST00000604404,Q14802-4,ENST00000604621,Q14802-5,ENST00000435734,ENST00000605677,ENST00000603524,Q14802-2,ENST00000605552,ENST00000603181,Q14802	17178	ENSMUST00000167369,Q61835
5350	ENST00000357525,P26678	18821	ENSMUST00000219491,P61014,ENSMUST00000046221
5351	Q02809,ENST00000196061,Q02809-2	18822	ENSMUST00000019199,Q9R0E2
5352	O00469,ENST00000360060,ENST00000282903,O00469-2,O00469-3	26432	ENSMUST00000160359,Q9R0B9,ENSMUST00000070522
5354	P60201,ENST00000621218,ENST00000612423,ENST00000619236,P60201-2	18823	ENSMUST00000033800,ENSMUST00000113085,P60202-2,P60202
5355	Q04941-2,Q04941,ENST00000376327	18824	Q9R1Q7,ENSMUST00000033486
5356	ENST00000499023,O43660-2,O43660,ENST00000302078	53317	ENSMUST00000150268,Q922V4
5357	Q14651,ENST00000457734,ENST00000337777,ENST00000497002	102502	Q3V0K9,ENSMUST00000093800
5358	P13797-2,P13797,ENST00000289290,P13797-3,ENST00000355899,ENST00000539310	102866	ENSMUST00000114059,ENSMUST00000033547,Q99K51,ENSMUST00000114057
5360	P55058-4,ENST00000372431,ENST00000420868,P55058-3,P55058-2,ENST00000354050,P55058,ENST00000372420	18830	ENSMUST00000059954,P55065
5361	ENST00000393409,Q9UIW2	18844	P70206
5362	O75051,O75051-2,ENST00000367033	18845	P70207,ENSMUST00000027952
5364	ENST00000358536,ENST00000296440,O43157,O43157-3,O43157-2	235611	Q8CJH3,ENSMUST00000072093
5365	ENST00000361971,ENST00000538966,Q9ULL4,Q9ULL4-2	140571	Q9QY40,ENSMUST00000002079
5366	Q13794-2,Q13794,ENST00000269518,ENST00000316660	58801	ENSMUST00000025399,Q9JM54
5367	ENST00000329406,P20382	110312	P56942,ENSMUST00000048621
5368	Q13519-2,Q13519,ENST00000301908	18155	ENSMUST00000059339,ENSMUST00000224594,Q64387,Q64387-2
5371	P29590-13,P29590-9,ENST00000359928,P29590-10,P29590,ENST00000436891,ENST00000435786,ENST00000395132,P29590-3,ENST00000354026,P29590-5,ENST00000564428,P29590-4,P29590-2,ENST00000268059,P29590-14,P29590-12,P29590-8,ENST00000268058,ENST00000395135,P29590-11	18854	Q60953-2,ENSMUST00000135310,Q60953,ENSMUST00000085673,ENSMUST00000114136
5372	ENST00000472620,Q92871,ENST00000216259	29858	ENSMUST00000023112,O35621,ENSMUST00000071462
5373	O15305-2,O15305,ENST00000268261	54128	Q9Z2M7,ENSMUST00000023396
5376	ENST00000312280,ENST00000395936,ENST00000580584,Q01453,ENST00000494511	18858	ENSMUST00000108702,P16646,ENSMUST00000108701,ENSMUST00000018361
5378	ENST00000409823,ENST00000409985,ENST00000424307,ENST00000450931,P54277-2,ENST00000374826,P54277-4,ENST00000447232,ENST00000409593,ENST00000441310,P54277,P54277-3,ENST00000624204,ENST00000432292	227099	ENSMUST00000027267
5393	ENST00000243498,Q06265,Q06265-4,ENST00000509980,Q06265-3,Q06265-2,ENST00000379663	50911	Q9JHI7,ENSMUST00000029269
5394	ENST00000304457,ENST00000376936,Q01780-2,Q01780	50912	ENSMUST00000076022,ENSMUST00000017408,ENSMUST00000097781,P56960
5396	ENST00000367760,P54821,ENST00000239461,P54821-2	18933	P63013-2,ENSMUST00000174397,P63013,ENSMUST00000027878,ENSMUST00000075805
5406	ENST00000369221,P16233	69060	ENSMUST00000057270,Q6P8U6
5407	ENST00000358834,P54315,ENST00000528052,P54315-3,P54315-2	18946	Q5BKQ4,ENSMUST00000048644
5409	P11086,ENST00000394246,ENST00000269582	18948	P40935,ENSMUST00000041301
5411	Q9H307,ENST00000216832	18949	O35691,ENSMUST00000021381
5412	O95164,ENST00000380680	24109	ENSMUST00000079324,ENSMUST00000164904,ENSMUST00000201595,Q9Z2M6
5413	ENST00000438754,Q99719,ENST00000455784,Q99719-2	18951	Q9Z2Q6,ENSMUST00000096987
5414	O43236-5,ENST00000317268,ENST00000412945,O43236-2,ENST00000672673,ENST00000583114,O43236,O43236-8,O43236-6,ENST00000457347,O43236-3,ENST00000580844,ENST00000426861,ENST00000583273,ENST00000317256,O43236-4,ENST00000321691,ENST00000577440,O43236-7,ENST00000584488	18952	P28661-5,ENSMUST00000063156,ENSMUST00000107960,P28661,P28661-4,ENSMUST00000133638,ENSMUST00000122067,P28661-6,ENSMUST00000107962,ENSMUST00000018544,P28661-3,P28661-2
5420	O00592-2,O00592,ENST00000322985,ENST00000378555	27205	ENSMUST00000026698,Q9R0M4
5422	ENST00000379059,ENST00000379068,P09884,ENST00000672178	18968	P33609,ENSMUST00000006856
5423	P06746,ENST00000265421,ENST00000522610,ENST00000518925	18970	Q8K409,ENSMUST00000033938
5424	ENST00000595904,ENST00000599857,ENST00000613923,P28340,ENST00000601098,ENST00000600859,ENST00000440232	18971	P52431,ENSMUST00000049343
5425	ENST00000610533,P49005,ENST00000406581,ENST00000223361,ENST00000452185	18972	O35654,ENSMUST00000102922
5426	Q07864,ENST00000672742,ENST00000320574	18973	Q9WVF7,ENSMUST00000007296
5427	ENST00000539565,P56282-3,P56282,ENST00000554396,ENST00000216367,P56282-2	18974	ENSMUST00000021359,O54956
5428	ENST00000442287,P54098,ENST00000268124	18975	ENSMUST00000073889
5429	Q9Y253-2,ENST00000372236,ENST00000372226,Q9Y253	80905	Q9JJN0,ENSMUST00000024749
5430	ENST00000617998,P24928,P24928-2	20020	ENSMUST00000058470,P08775
5431	ENST00000314595,P30876,ENST00000441246,ENST00000431623	231329	Q8CFI7,ENSMUST00000031167
5432	ENST00000219252,P19387	20021	P97760,ENSMUST00000109521
5433	O15514,ENST00000272645	69241	ENSMUST00000025106,ENSMUST00000234146,Q9D7M8
5434	P19388,ENST00000585838,ENST00000615234,ENST00000215587	66420	ENSMUST00000004786,Q80UW8
5435	ENST00000492213,P61218,ENST00000442738,ENST00000443002,ENST00000407936	69833	P61219,ENSMUST00000230271
5436	P62487,ENST00000301788	67710	P62488,ENSMUST00000096261
5437	P52434-5,ENST00000430783,ENST00000443489,P52434,P52434-3,P52434-2,P52434-4,ENST00000438240,ENST00000429568,ENST00000456318	245841	ENSMUST00000021405,ENSMUST00000161038,Q923G2
5438	P36954,ENST00000221859	69920	P60898,ENSMUST00000019882
5439	ENST00000292614,ENST00000393794,P52435	20022	ENSMUST00000041366
5440	ENST00000353107,P53803	17749	Q63871,ENSMUST00000180159,ENSMUST00000057177
5441	ENST00000322028,P62875	66491	P62876,ENSMUST00000043870
5442	ENST00000588649,O00411	216151	Q8BKF1,ENSMUST00000020580
5443	ENST00000405623,P01189,ENST00000380794,ENST00000395826,ENST00000264708	18976	ENSMUST00000218089,ENSMUST00000020990,ENSMUST00000219543,P01193
5444	ENST00000222381,P27169	18979	ENSMUST00000177159,P52430,ENSMUST00000002663
5445	ENST00000433091,Q15165-1,Q15165,Q15165-3	330260	ENSMUST00000057792,Q62086
5447	ENST00000461988,P16435	18984	ENSMUST00000005651,P37040
5449	ENST00000344265,ENST00000350375,P28069-2,P28069	18736	Q00286-3,ENSMUST00000176330,Q00286,ENSMUST00000184525,Q00286-2
5450	Q16633,ENST00000393067	18985	ENSMUST00000034554,Q64693
5451	ENST00000367866,P14859-3,ENST00000420254,P14859-4,ENST00000271411,ENST00000367862,P14859-6,P14859-5,ENST00000429375,P14859,P14859-2,ENST00000367865	18986	P25425-11,P25425-6,ENSMUST00000111427,P25425-4,P25425,P25425-5,P25425-3,ENSMUST00000160908,P25425-12,P25425-8,P25425-10,ENSMUST00000069609,P25425-2,ENSMUST00000160260,P25425-7,P25425-9
5452	ENST00000342301,P09086-3,P09086-2,P09086-4,ENST00000529952,P09086-5,ENST00000526816,ENST00000560398,ENST00000389341,ENST00000529067,P09086	18987	ENSMUST00000108417,Q00196-4,Q00196-7,ENSMUST00000098679,ENSMUST00000108415,Q00196-3,Q00196,ENSMUST00000175774,ENSMUST00000108418,Q00196-5,Q00196-6,Q00196-2
5453	Q03052	18991	P21952
5454	P20265-3,P20265,P20265-2	18992	P31360
5455	P20264,ENST00000361360	18993	ENSMUST00000054883,P31361
5456	P49335	18994	P62515
5457	Q01851-2,ENST00000377208,Q01851	18996	P17208,P17208-2,ENSMUST00000053016
5458	ENST00000281321,Q12837,Q12837-2	18997	ENSMUST00000034115,Q63934-2,Q63934
5459	ENST00000646991,Q15319	18998	ENSMUST00000025374,Q63955
5460	ENST00000606567,Q01860,ENST00000259915,Q01860-2,ENST00000513407	18999	P20263,ENSMUST00000025271
5463	Q14863,ENST00000636728,ENST00000333640	19009	ENSMUST00000073837,ENSMUST00000176271
5464	Q15181,ENST00000373232	67895	ENSMUST00000020286,Q9D819
5465	ENST00000407236,ENST00000402126,Q07869-2,Q07869	19013	ENSMUST00000109422,P23204,ENSMUST00000109423
5467	Q03181-4,ENST00000448077,ENST00000360694,ENST00000418635,ENST00000311565,Q03181,Q03181-2,Q03181-3	19015	ENSMUST00000002320,P35396
5468	P37231-2,ENST00000397000,ENST00000643197,ENST00000309576,ENST00000397015,P37231-3,ENST00000397010,P37231,ENST00000287820	19016	ENSMUST00000000450,P37238-2,P37238,ENSMUST00000171644,ENSMUST00000203732
5469	ENST00000394287,Q15648,ENST00000300651,Q15648-3	19014	Q925J9-4,ENSMUST00000018304,Q925J9-2,Q925J9,Q925J9-3,ENSMUST00000107545,ENSMUST00000092735
5470	O14830-2,O14830,ENST00000286719	19023	ENSMUST00000201130,O35385
5471	Q06203,ENST00000264220	231327	ENSMUST00000140076
5475	O14829-2,ENST00000361511,O14829-4,O14829-3,ENST00000349874,O14829-5,O14829	237178	ENSMUST00000071204,O35655
5476	ENST00000354880,P10619-2,ENST00000191018,ENST00000606788,P10619	19025	P16675,ENSMUST00000103093
5478	P62937-2,ENST00000355968,ENST00000468812,ENST00000489459,P62937	268373	P17742,ENSMUST00000132846
5479	ENST00000300026,P23284	19035	P24369,ENSMUST00000034947
5480	P45877,ENST00000306442	19038	ENSMUST00000025419,P30412
5481	ENST00000307720,Q08752	67738	ENSMUST00000029382,Q9CR16
